t,q1,qd1,qdd1,q2,qd2,qdd2
2.35,0.711473,-0.702713,0.00876028,0.044333,-0.769865,-0.72562
2.36,0.704411,-0.709793,-0.00538179,-0.945406,-1.87387,-1.54467
2.37,0.697278,-0.716801,-0.0195233,-0.580685,-0.769785,0.756404
2.38,0.690075,-0.723738,-0.0336629,0.615969,1.34009,-0.246366
2.39,0.682803,-0.730602,-0.0477991,0.930139,1.90172,1.65469
2.4,0.675463,-0.737394,-0.0619305,-0.0882786,0.237503,0.149913
2.41,0.668056,-0.744111,-0.0760558,-0.980222,-1.59977,-1.00752
2.42,0.660581,-0.750755,-0.0901734,-0.467825,-1.46309,-0.168316
2.43,0.653041,-0.757323,-0.104282,0.714813,0.258871,-1.4557
2.44,0.645435,-0.763815,-0.11838,0.873356,1.37593,1.35336
2.45,0.637765,-0.770231,-0.132467,-0.219337,0.779685,0.57103
2.46,0.630031,-0.77657,-0.14654,-0.997791,-0.420814,0.444417
2.47,0.622234,-0.782832,-0.160598,-0.346734,-0.722272,0.274911
2.48,0.614374,-0.789015,-0.17464,0.80108,-0.181705,-1.94177
2.49,0.606454,-0.795119,-0.188665,0.801207,0.114742,0.2724
2.5,0.598472,-0.801144,-0.202671,-0.346536,-0.105548,-0.409139
2.51,0.590431,-0.807088,-0.216657,-0.997805,-0.0509276,1.07902
2.52,0.582331,-0.812952,-0.230621,-0.219543,0.562669,1.21059
2.53,0.574172,-0.818735,-0.244562,0.873253,0.771638,-0.95263
2.54,0.565956,-0.824435,-0.258479,0.714961,-0.177058,0.107732
2.55,0.557684,-0.830054,-0.27237,-0.467639,-1.32994,-1.68901
2.56,0.549355,-0.835589,-0.286233,-0.980264,-1.02005,0.347796
2.57,0.540972,-0.84104,-0.300068,-0.0884888,0.730817,0.995589
2.58,0.532535,-0.846408,-0.313873,0.930062,1.8552,0.24172
2.59,0.524044,-0.851691,-0.327647,0.616135,0.796536,1.15099
2.6,0.515501,-0.856889,-0.341387,-0.580513,-1.31071,-1.67556
2.61,0.506907,-0.862001,-0.355094,-0.945475,-1.91493,-0.353578
2.62,0.498262,-0.867027,-0.368765,0.0441222,-0.273278,-0.405559
2.63,0.489567,-0.871966,-0.382399,0.970506,1.59697,0.158536
2.64,0.480823,-0.876818,-0.395995,0.50647,1.50083,1.86778
2.65,0.472031,-0.881582,-0.409552,-0.683174,-0.235127,-0.549737
2.66,0.463191,-0.886258,-0.423067,-0.894051,-1.40425,0.290805
2.67,0.454306,-0.890846,-0.43654,0.175957,-0.823417,-1.3458
2.68,0.445375,-0.895344,-0.44997,0.993875,0.42415,-0.789386
2.69,0.436399,-0.899753,-0.463354,0.387893,0.771619,1.09877
2.7,0.42738,-0.904072,-0.476692,-0.773814,0.210568,0.00409462
2.71,0.418318,-0.908301,-0.489983,-0.826896,-0.146895,1.61002
2.72,0.409214,-0.912438,-0.503224,0.304696,0.0551265,-0.829984
2.73,0.400069,-0.916485,-0.516415,0.999758,0.0500707,-0.905685
2.74,0.390885,-0.92044,-0.529555,0.262491,-0.514176,-0.270093
2.75,0.381661,-0.924302,-0.542641,-0.85084,-0.740423,-0.783687
2.76,0.372399,-0.928073,-0.555674,-0.745194,0.150791,1.88985
2.77,0.3631,-0.93175,-0.56865,0.428074,1.28586,0.0840497
2.78,0.353764,-0.935335,-0.58157,0.98805,1.019,0.335526
2.79,0.344393,-0.938825,-0.594432,0.132471,-0.691877,-0.561741
2.8,0.334988,-0.942222,-0.607234,-0.912896,-1.83464,-1.66701
2.81,0.325549,-0.945525,-0.619976,-0.650379,-0.822067,0.816381
2.82,0.316078,-0.948733,-0.632655,0.54392,1.28013,-0.176634
2.83,0.306575,-0.951847,-0.645272,0.958958,1.9262,1.51106
2.84,0.297041,-0.954865,-0.657823,0.000120577,0.309115,0.309235
2.85,0.287478,-0.957787,-0.670309,-0.95889,-1.59223,-1.17757
2.86,0.277886,-0.960614,-0.682728,-0.544122,-1.53751,-0.0803433
2.87,0.268266,-0.963345,-0.695079,0.650196,0.21008,-1.42811
2.88,0.258619,-0.965979,-0.70736,0.912994,1.43079,1.26275
2.89,0.248947,-0.968517,-0.71957,-0.132232,0.867416,0.737506
2.9,0.239249,-0.970958,-0.731709,-0.988013,-0.425584,0.257389
2.91,0.229528,-0.973302,-0.743774,-0.428292,-0.820177,0.382158
2.92,0.219784,-0.975549,-0.755765,0.745033,-0.240869,-1.97982
2.93,0.210017,-0.977698,-0.76768,0.850967,0.177482,0.220404
2.94,0.20023,-0.979749,-0.779519,-0.262258,-0.00412774,-0.248027
2.95,0.190423,-0.981702,-0.79128,-0.999752,-0.0473303,0.907939
2.96,0.180596,-0.983557,-0.802961,-0.304925,0.466136,1.35187
2.97,0.170752,-0.985314,-0.814562,0.826761,0.707551,-1.0494
2.98,0.16089,-0.986972,-0.826082,0.773967,-0.125913,0.080312
2.99,0.151013,-0.988532,-0.837519,-0.38767,-1.24087,-1.56791
3,0.14112,-0.989992,-0.848872,-0.993902,-1.016,0.197093
3.01,0.131213,-0.991354,-0.860141,-0.176194,0.653132,1.1762
3.02,0.121293,-0.992617,-0.871323,0.893943,1.81221,0.116974
3.03,0.111361,-0.99378,-0.882419,0.68335,0.846311,1.16078
3.04,0.101418,-0.994844,-0.893426,-0.506262,-1.24844,-1.61535
3.05,0.0914646,-0.995808,-0.904344,-0.970564,-1.93552,-0.497453
3.06,0.0815022,-0.996673,-0.915171,-0.0443631,-0.344927,-0.211925
3.07,0.0715315,-0.997438,-0.925907,0.945396,1.58556,0.0239134
3.08,0.0615537,-0.998104,-0.93655,0.580709,1.57304,1.93786
3.09,0.0515698,-0.998669,-0.9471,-0.615945,-0.183795,-0.538319
3.1,0.0415807,-0.999135,-0.957554,-0.93015,-1.4555,0.157716
3.11,0.0315874,-0.999501,-0.967914,0.0882486,-0.911595,-1.17565
3.12,0.021591,-0.999767,-0.978176,0.980216,0.425128,-0.94312
3.13,0.0115924,-0.999933,-0.98834,0.467852,0.867865,1.22699
3.14,0.00159265,-0.999999,-0.998406,-0.714792,0.272552,-0.0124171
3.15,-0.00840725,-0.999965,-1.00837,-0.873371,-0.206455,1.51768
3.16,-0.0184063,-0.999831,-1.01824,0.219308,-0.0473644,-0.694609
3.17,-0.0284035,-0.999597,-1.028,0.997789,0.0427067,-1.0877
3.18,-0.0383979,-0.999263,-1.03766,0.346763,-0.418632,-0.114901
3.19,-0.0483884,-0.998829,-1.04722,-0.801062,-0.673069,-0.831008
3.2,-0.0583741,-0.998295,-1.05667,-0.801225,0.10248,1.86255
3.21,-0.068354,-0.997661,-1.06602,0.346508,1.19506,0.198473
3.22,-0.078327,-0.996928,-1.07525,0.997807,1.01105,0.145329
3.23,-0.0882922,-0.996095,-1.08439,0.219572,-0.614668,-0.405812
3.24,-0.0982486,-0.995162,-1.09341,-0.873239,-1.78797,-1.76578
3.25,-0.108195,-0.99413,-1.10232,-0.714982,-0.869203,0.845527
3.26,-0.118131,-0.992998,-1.11113,0.467612,1.21569,-0.0785985
3.27,-0.128055,-0.991767,-1.11982,0.980269,1.94287,1.35013
3.28,-0.137966,-0.990437,-1.1284,0.0885188,0.380629,0.468453
3.29,-0.147863,-0.989008,-1.13687,-0.930051,-1.57699,-1.3304
3.3,-0.157746,-0.98748,-1.14523,-0.616159,-1.60736,-0.0205982
3.31,-0.167612,-0.985853,-1.15347,0.580488,0.156337,-1.3695
3.32,-0.177462,-0.984128,-1.16159,0.945484,1.47834,1.14869
3.33,-0.187295,-0.982304,-1.1696,-0.0440921,0.955869,0.911863
3.34,-0.197108,-0.980382,-1.17749,-0.970499,-0.422795,0.0797191
3.35,-0.206902,-0.978362,-1.18526,-0.506496,-0.914605,0.465335
3.36,-0.216675,-0.976244,-1.19292,0.683152,-0.305557,-1.98649
3.37,-0.226427,-0.974028,-1.20045,0.894064,0.23377,0.140678
3.38,-0.236155,-0.971715,-1.20787,-0.175927,0.0992651,-0.0711744
3.39,-0.245861,-0.969305,-1.21517,-0.993872,-0.0362038,0.737949
3.4,-0.255541,-0.966798,-1.22234,-0.387921,0.371748,1.47476
3.41,-0.265196,-0.964194,-1.22939,0.773795,0.637028,-1.11707
3.42,-0.274825,-0.961494,-1.23632,0.826913,-0.080546,0.0225357
3.43,-0.284426,-0.958698,-1.24312,-0.304667,-1.1485,-1.4242
3.44,-0.293998,-0.955806,-1.2498,-0.999758,-1.00415,0.039546
3.45,-0.303542,-0.952818,-1.25636,-0.26252,0.576568,1.34571
3.46,-0.313054,-0.949735,-1.26279,0.850824,1.76194,0.0169861
3.47,-0.322536,-0.946557,-1.26909,0.745214,0.890684,1.13933
3.48,-0.331985,-0.943285,-1.27527,-0.428046,-1.18197,-1.52762
3.49,-0.341401,-0.939918,-1.28132,-0.988055,-1.94822,-0.655638
3.5,-0.350783,-0.936457,-1.28724,-0.132501,-0.416134,-0.0209676
3.51,-0.36013,-0.932902,-1.29303,0.912884,1.56655,-0.0916477
3.52,-0.369441,-0.929254,-1.2987,0.650402,1.64039,1.97807
3.53,-0.378715,-0.925513,-1.30423,-0.543895,-0.127775,-0.496703
3.54,-0.387951,-0.92168,-1.30963,-0.958967,-1.49929,0.00344048
3.55,-0.397148,-0.917755,-1.3149,-0.000150722,-1.00015,-0.999699
3.56,-0.406306,-0.913737,-1.32004,0.958882,0.418605,-1.08455
3.57,-0.415423,-0.909629,-1.32505,0.544148,0.960322,1.32924
3.58,-0.424498,-0.905429,-1.32993,-0.650173,0.339823,0.00201167
3.59,-0.433531,-0.901139,-1.33467,-0.913007,-0.259386,1.39853
3.6,-0.44252,-0.896758,-1.33928,0.132202,-0.151489,-0.545775
3.61,-0.451466,-0.892288,-1.34375,0.988008,0.0278297,-1.26528
3.62,-0.460366,-0.887729,-1.3481,0.428319,-0.325564,0.0201991
3.63,-0.46922,-0.883081,-1.3523,-0.745013,-0.599483,-0.848392
3.64,-0.478027,-0.878345,-1.35637,-0.850983,0.06016,1.805
3.65,-0.486787,-0.873521,-1.36031,0.262229,1.10128,0.332949
3.66,-0.495497,-0.868609,-1.36411,0.999752,0.995296,-0.0489997
3.67,-0.504159,-0.863611,-1.36777,0.304954,-0.538916,-0.263014
3.68,-0.512769,-0.858526,-1.3713,-0.826744,-1.73418,-1.83765
3.69,-0.521329,-0.853356,-1.37468,-0.773986,-0.910693,0.843473
3.7,-0.529836,-0.8481,-1.37794,0.387643,1.14735,0.0450419
3.71,-0.538291,-0.842759,-1.38105,0.993905,1.95156,1.17678
3.72,-0.546691,-0.837334,-1.38403,0.176224,0.451358,0.622067
3.73,-0.555037,-0.831826,-1.38686,-0.893929,-1.55427,-1.46167
3.74,-0.563327,-0.826234,-1.38956,-0.683372,-1.67207,0.00911912
3.75,-0.571561,-0.820559,-1.39212,0.506236,0.0981811,-1.2812
3.76,-0.579738,-0.814803,-1.39454,0.970572,1.51833,1.01521
